0.1v,0.1i,0.2v,0.2i,0.3v,0.3i,0.4v,0.4i,0.5v,0.5i,0.6v,0.6i,0.7v,0.7i,0.8v,0.8i,0.9v,0.9i,1.0v,1.0i
1.535814113,-0.001069765,1.535814113,-0.001069765,1.513806969,-0.00126819,1.477488206,-8.23E-04,1.595124193,-5.85E-04,1.459909065,-7.62E-04,1.452024117,-7.24E-04,1.494730712,-0.002565251,1.569698831,-0.001921258,1.489178728,-0.003157221
1.524224,-0.001028577,1.524224,-0.001028577,1.50381709,-0.001091781,1.469469953,-7.28E-04,1.588482353,-7.47E-04,1.454008411,-7.00E-04,1.44668988,-6.75E-04,1.486304074,-0.002089698,1.554946715,-0.002621869,1.481407292,-0.002584646
1.513792898,-9.36E-04,1.513792898,-9.36E-04,1.493827211,-9.20E-04,1.462460401,-6.68E-04,1.582504697,-9.08E-04,1.448107757,-6.51E-04,1.441355643,-6.35E-04,1.477877437,-0.001622813,1.540194599,-0.003288969,1.473635856,-0.002011372
1.504404907,-8.38E-04,1.504404907,-8.38E-04,1.483837331,-7.82E-04,1.456151804,-6.26E-04,1.576527041,-0.001077864,1.442207103,-6.13E-04,1.436021406,-6.02E-04,1.4694508,-0.001230744,1.530283385,-0.003616515,1.46586442,-0.001510248
1.495016915,-7.46E-04,1.495016915,-7.46E-04,1.47484644,-6.93E-04,1.449843207,-5.90E-04,1.570549386,-0.001254909,1.43630645,-5.81E-04,1.430687169,-5.75E-04,1.463666733,-0.001032421,1.520372171,-0.003765728,1.458092984,-0.001127402
1.485628924,-6.68E-04,1.485628924,-6.68E-04,1.467027426,-6.37E-04,1.44353461,-5.60E-04,1.558594074,-0.00162882,1.430405796,-5.54E-04,1.425352932,-5.52E-04,1.457882666,-8.85E-04,1.511452078,-0.003695557,1.451716075,-9.16E-04
1.476240933,-6.06E-04,1.476240933,-6.06E-04,1.459990314,-5.96E-04,1.437226014,-5.34E-04,1.546638763,-0.001954473,1.424505142,-5.32E-04,1.420018695,-5.32E-04,1.452677006,-7.91E-04,1.503423994,-0.003450926,1.446225653,-7.96E-04
1.467815333,-5.60E-04,1.467815333,-5.60E-04,1.452953202,-5.60E-04,1.430917417,-5.11E-04,1.534683451,-0.002151583,1.418604489,-5.13E-04,1.414684458,-5.15E-04,1.447471346,-7.21E-04,1.495395911,-0.003055734,1.441301437,-7.22E-04
1.460232294,-5.26E-04,1.460232294,-5.26E-04,1.44591609,-5.30E-04,1.42460882,-4.92E-04,1.52272814,-0.002153718,1.412703835,-4.97E-04,1.409350221,-5.01E-04,1.442265685,-6.69E-04,1.488170635,-0.002609875,1.436869643,-6.74E-04
1.452649255,-4.96E-04,1.452649255,-4.96E-04,1.438878978,-5.04E-04,1.418300223,-4.75E-04,1.512505233,-0.001979962,1.406803181,-4.83E-04,1.404015983,-4.88E-04,1.437060025,-6.29E-04,1.48094536,-0.00213491,1.432437848,-6.37E-04
1.445066216,-4.69E-04,1.445066216,-4.69E-04,1.431841866,-4.81E-04,1.411991626,-4.61E-04,1.503304618,-0.001717622,1.400902527,-4.70E-04,1.398681746,-4.77E-04,1.431854365,-5.97E-04,1.473720085,-0.001686842,1.428006054,-6.06E-04
1.437483176,-4.45E-04,1.437483176,-4.45E-04,1.424804754,-4.62E-04,1.40568303,-4.47E-04,1.495024063,-0.001445066,1.395001874,-4.59E-04,1.393347509,-4.67E-04,1.426648705,-5.70E-04,1.46649481,-0.001310102,1.423574259,-5.80E-04
1.429900137,-4.25E-04,1.429900137,-4.25E-04,1.417767642,-4.44E-04,1.399374433,-4.35E-04,1.486743509,-0.001187228,1.38910122,-4.49E-04,1.388013272,-4.58E-04,1.421443045,-5.48E-04,1.459269535,-0.00102726,1.419142465,-5.59E-04
1.422317098,-4.06E-04,1.422317098,-4.06E-04,1.41073053,-4.29E-04,1.393065836,-4.24E-04,1.478462955,-9.76E-04,1.383200566,-4.40E-04,1.382679035,-4.50E-04,1.416237385,-5.29E-04,1.453248413,-8.67E-04,1.41471067,-5.40E-04
1.414734058,-3.89E-04,1.414734058,-3.89E-04,1.403693418,-4.15E-04,1.386757239,-4.14E-04,1.4701824,-8.22E-04,1.377299913,-4.32E-04,1.377344798,-4.42E-04,1.411031724,-5.13E-04,1.447829404,-7.69E-04,1.410278876,-5.24E-04
